HR,respr,Time(sec),Label
84.42,10.45573332971452,1644227901.0,0
84.52,10.423059163059165,1644227902.0,0
84.7,10.390588573766143,1644227903.0,0
84.83,10.358319665151964,1644227904.0,0
85.0,10.326250564021462,1644227905.0,0
85.15,10.327301231004936,1644227906.0,0
85.35,10.29552491952492,1644227907.0,0
85.52,10.2639435547411,1644227908.0,0
85.72,10.232555348151678,1644227909.0,0
86.0,10.20135853306585,1644227910.0,0
86.32,10.170351364272337,1644227911.0,0
86.63,10.139532117713935,1644227912.0,0
86.98,10.108899090167972,1644227913.0,0
87.4,10.078450598932529,1644227914.0,0
87.8,10.048184981518316,1644227915.0,0
88.22,10.018100595346104,1644227916.0,0
88.6,10.06461372789731,1644227917.0,0
88.93,10.098151583865867,1644227918.0,0
89.28,10.163142231984962,1644227919.0,0
89.67,10.208813408813407,1644227920.0,0
90.05,10.23263907511695,1644227921.0,0
90.43,10.256324590442238,1644227922.0,0
90.83,10.273168213344167,1644227923.0,0
91.25,10.296596710631798,1644227924.0,0
91.67,10.3198885986058,1644227925.0,0
92.1,10.382912178261016,1644227926.0,0
92.48,10.427019679193592,1644227927.0,0
92.92,10.45854081692232,1644227928.0,0
93.37,10.50217614598018,1644227929.0,0
93.87,10.545560697284834,1644227930.0,0
94.32,10.607034735401497,1644227931.0,0
94.78,10.66815749330035,1644227932.0,0
95.23,10.637763882208327,1644227933.0,0
95.72,10.607542962088417,1644227934.0,0
96.17,10.57749326531196,1644227935.0,0
96.62,10.54761334083368,1644227936.0,0
97.03,10.557964351767168,1644227937.0,0
97.45,10.564262204711644,1644227938.0,0
97.85,10.570524775566792,1644227939.0,0
98.33,10.573501979088572,1644227940.0,0
98.78,10.576462596518306,1644227941.0,0
99.15,10.579406766073433,1644227942.0,0
99.47,10.579648483249592,1644227943.0,0
99.83,10.582567585882504,1644227944.0,0
100.1,10.585470605305316,1644227945.0,0
100.38,10.591554477268764,1644227946.0,0
100.67,10.597605012947476,1644227947.0,0
101.03,10.60750833865588,1644227948.0,0
101.38,10.622201776425207,1644227949.0,0
101.78,10.636815358554488,1644227950.0,0
102.22,10.607989300672228,1644227951.0,0
102.62,10.613913653913654,1644227952.0,0
102.97,10.585304722231946,1644227953.0,0
103.28,10.556849602010892,1644227954.0,0
103.57,10.528547056160996,1644227955.0,0
103.83,10.500395860823668,1644227956.0,0
104.1,10.472394805194805,1644227957.0,0
104.23,10.529649074329926,1644227958.0,0
104.42,10.501718970684488,1644227959.0,0
104.62,10.473936645365216,1644227960.0,0
104.77,10.44630092862283,1644227961.0,0
104.92,10.418810663021189,1644227962.0,0
104.98,10.391464703275728,1644227963.0,0
105.08,10.364261916094376,1644227964.0,0
105.1,10.36505148463373,1644227965.0,0
105.12,10.338059163059162,1644227966.0,0
105.15,10.341431382470343,1644227967.0,0
105.07,10.314640109458765,1644227968.0,0
105.08,10.287987292638457,1644227969.0,0
105.05,10.29446155219351,1644227970.0,0
105.02,10.267997640748284,1644227971.0,0
104.98,10.241669441669442,1644227972.0,0
104.95,10.215475913685632,1644227973.0,0
104.93,10.18941602615072,1644227974.0,0
104.92,10.244913695295374,1644227975.0,0
104.92,10.300129650383456,1644227976.0,0
104.88,10.355066031015395,1644227977.0,0
104.92,10.32891687437142,1644227978.0,0
104.92,10.302899451514062,1644227979.0,0
104.92,10.357414779525332,1644227980.0,0
104.88,10.33145634649394,1644227981.0,0
104.78,10.305627705627703,1644227982.0,0
104.73,10.279927885912922,1644227983.0,0
104.65,10.31803751803752,1644227984.0,0
104.6,10.337808428131009,1644227985.0,0
104.53,10.35182375380395,1644227986.0,0
104.5,10.361380293232145,1644227987.0,0
104.45,10.37088975611143,1644227988.0,0
104.32,10.39033649942741,1644227989.0,0
104.25,10.417157570098746,1644227990.0,0
104.17,10.454279434230534,1644227991.0,0
104.08,10.506829972195826,1644227992.0,0
103.97,10.481265909003136,1644227993.0,0
103.8,10.455825943204584,1644227994.0,0
103.63,10.430509173366316,1644227995.0,0
103.3,10.405314706763985,1644227996.0,0
103.0,10.380241659277804,1644227997.0,0
102.7,10.355289155289157,1644227998.0,0
102.4,10.33045632757863,1644227999.0,0
102.03,10.30574231722557,1644228000.0,0
101.72,10.332061150199577,1644228001.0,0
101.43,10.358254655397513,1644228002.0,0
101.12,10.384323725891422,1644228003.0,0
100.82,10.403047400203798,1644228004.0,0
100.58,10.45410402573523,1644228005.0,0
100.37,10.472574804650275,1644228006.0,0
100.12,10.508168746286394,1644228007.0,0
99.8,10.558619054393702,1644228008.0,0
99.47,10.59384477089395,1644228009.0,0
99.1,10.56909279713018,1644228010.0,0
98.72,10.619048291775565,1644228011.0,0
98.35,10.5943528306319,1644228012.0,0
97.95,10.569771965595631,1644228013.0,0
97.52,10.604564160119716,1644228014.0,0
97.1,10.58007324981921,1644228015.0,0
96.67,10.555695200856492,1644228016.0,0
96.22,10.604992453268316,1644228017.0,0
95.77,10.58066907608192,1644228018.0,0
95.25,10.556457018699582,1644228019.0,0
94.63,10.532355518656887,1644228020.0,0
94.05,10.508363820436712,1644228021.0,0
93.47,10.484481175390266,1644228022.0,0
92.9,10.460706841659222,1644228023.0,0
92.37,10.437040084098909,1644228024.0,0
91.88,10.413480174202522,1644228025.0,0
91.38,10.39002639002639,1644228026.0,0
90.9,10.366678016116218,1644228027.0,0
90.58,10.343434343434344,1644228028.0,0
90.13,10.32029466928796,1644228029.0,0
89.72,10.297258297258296,1644228030.0,0
89.2,10.274324537130774,1644228031.0,0
88.67,10.251492704826038,1644228032.0,0
88.25,10.228762122331968,1644228033.0,0
87.85,10.23445070170734,1644228034.0,0
87.47,10.211858095301803,1644228035.0,0
87.1,10.189365015796737,1644228036.0,0
86.77,10.213857253857254,1644228037.0,0
86.33,10.238242069821016,1644228038.0,0
85.92,10.271856419777643,1644228039.0,0
85.45,10.305323982179878,1644228040.0,0
85.05,10.338645716423494,1644228041.0,0
84.65,10.371822573561705,1644228042.0,0
84.18,10.404855496395626,1644228043.0,0
83.73,10.451598233416414,1644228044.0,0
83.27,10.42902458712394,1644228045.0,0
